Area Code	Year Code	Years considered	Unit	Value
143	2016	"""2015,2016,2017"""	millions	1.3
143	2017	"""2016,2017,2018"""	millions	1.4
143	2018	"""2017,2018,2019"""	millions	1.6
144	2014	"""2013,2014,2015"""	millions	7.0
144	2015	"""2014,2015,2016"""	millions	8.4
144	2016	"""2015,2016,2017"""	millions	9.2
144	2017	"""2016,2017,2018"""	millions	9.4
144	2018	"""2017,2018,2019"""	millions	9.6
28	2014	"""2013,2014,2015"""	millions	7.1
28	2015	"""2014,2015,2016"""	millions	7.3
28	2016	"""2015,2016,2017"""	millions	7.2
28	2017	"""2016,2017,2018"""	millions	7.3
28	2018	"""2017,2018,2019"""	millions	7.6
147	2014	"""2013,2014,2015"""	millions	0.4
147	2015	"""2014,2015,2016"""	millions	0.3
147	2016	"""2015,2016,2017"""	millions	0.3
147	2017	"""2016,2017,2018"""	millions	0.3
147	2018	"""2017,2018,2019"""	millions	0.4
149	2014	"""2013,2014,2015"""	millions	1.7
149	2015	"""2014,2015,2016"""	millions	1.7
149	2016	"""2015,2016,2017"""	millions	1.6
149	2017	"""2016,2017,2018"""	millions	1.7
149	2018	"""2017,2018,2019"""	millions	1.7
153	2014	"""2013,2014,2015"""	millions	0.1
153	2015	"""2014,2015,2016"""	millions	0.1
153	2016	"""2015,2016,2017"""	millions	0.1
153	2017	"""2016,2017,2018"""	millions	0.1
153	2018	"""2017,2018,2019"""	millions	0.1
157	2014	"""2013,2014,2015"""	millions	1.2
157	2015	"""2014,2015,2016"""	millions	1.2
157	2016	"""2015,2016,2017"""	millions	1.1
157	2017	"""2016,2017,2018"""	millions	1.1
157	2018	"""2017,2018,2019"""	millions	1.1
159	2014	"""2013,2014,2015"""	millions	17.4
159	2015	"""2014,2015,2016"""	millions	20.2
159	2016	"""2015,2016,2017"""	millions	22.2
159	2017	"""2016,2017,2018"""	millions	22.8
159	2018	"""2017,2018,2019"""	millions	24.6
154	2014	"""2013,2014,2015"""	millions	0.1
154	2015	"""2014,2015,2016"""	millions	0.1
154	2016	"""2015,2016,2017"""	millions	0.1
154	2017	"""2016,2017,2018"""	millions	0.1
154	2018	"""2017,2018,2019"""	millions	0.1
221	2014	"""2013,2014,2015"""	millions	0.3
221	2015	"""2014,2015,2016"""	millions	0.3
221	2016	"""2015,2016,2017"""	millions	0.4
221	2017	"""2016,2017,2018"""	millions	0.4
221	2018	"""2017,2018,2019"""	millions	0.4
165	2014	"""2013,2014,2015"""	millions	28.5
165	2015	"""2014,2015,2016"""	millions	25.4
165	2016	"""2015,2016,2017"""	millions	24.6
165	2017	"""2016,2017,2018"""	millions	24.8
165	2018	"""2017,2018,2019"""	millions	26.1
166	2014	"""2013,2014,2015"""	millions	0.3
166	2015	"""2014,2015,2016"""	millions	0.3
166	2016	"""2015,2016,2017"""	millions	0.3
166	2017	"""2016,2017,2018"""	millions	0.3
166	2018	"""2017,2018,2019"""	millions	0.3
169	2014	"""2013,2014,2015"""	millions	0.5
169	2015	"""2014,2015,2016"""	millions	0.5
169	2016	"""2015,2016,2017"""	millions	0.6
169	2017	"""2016,2017,2018"""	millions	0.6
169	2018	"""2017,2018,2019"""	millions	0.6
170	2014	"""2013,2014,2015"""	millions	1.8
170	2015	"""2014,2015,2016"""	millions	2.0
170	2016	"""2015,2016,2017"""	millions	2.1
170	2017	"""2016,2017,2018"""	millions	2.2
170	2018	"""2017,2018,2019"""	millions	2.2
171	2014	"""2013,2014,2015"""	millions	15.4
171	2015	"""2014,2015,2016"""	millions	16.5
171	2016	"""2015,2016,2017"""	millions	15.8
171	2017	"""2016,2017,2018"""	millions	15.7
171	2018	"""2017,2018,2019"""	millions	15.4
184	2014	"""2013,2014,2015"""	millions	3.3
184	2015	"""2014,2015,2016"""	millions	3.9
184	2016	"""2015,2016,2017"""	millions	4.1
184	2017	"""2016,2017,2018"""	millions	4.2
184	2018	"""2017,2018,2019"""	millions	4.4
191	2014	"""2013,2014,2015"""	millions	0.1
191	2015	"""2014,2015,2016"""	millions	0.1
191	2016	"""2015,2016,2017"""	millions	0.1
191	2017	"""2016,2017,2018"""	millions	0.1
191	2018	"""2017,2018,2019"""	millions	0.1
244	2014	"""2013,2014,2015"""	millions	0.1
193	2014	"""2013,2014,2015"""	millions	0.1
193	2015	"""2014,2015,2016"""	millions	0.1
193	2016	"""2015,2016,2017"""	millions	0.1
193	2017	"""2016,2017,2018"""	millions	0.1
193	2018	"""2017,2018,2019"""	millions	0.1
194	2014	"""2013,2014,2015"""	millions	1.5
194	2015	"""2014,2015,2016"""	millions	1.5
194	2016	"""2015,2016,2017"""	millions	1.5
194	2017	"""2016,2017,2018"""	millions	1.6
194	2018	"""2017,2018,2019"""	millions	1.6
195	2014	"""2013,2014,2015"""	millions	1.6
195	2015	"""2014,2015,2016"""	millions	1.7
195	2016	"""2015,2016,2017"""	millions	1.5
195	2017	"""2016,2017,2018"""	millions	1.5
195	2018	"""2017,2018,2019"""	millions	1.5
272	2014	"""2013,2014,2015"""	millions	0.3
272	2015	"""2014,2015,2016"""	millions	0.4
272	2016	"""2015,2016,2017"""	millions	0.4
272	2017	"""2016,2017,2018"""	millions	0.4
272	2018	"""2017,2018,2019"""	millions	0.4
197	2014	"""2013,2014,2015"""	millions	2.1
197	2015	"""2014,2015,2016"""	millions	2.0
197	2016	"""2015,2016,2017"""	millions	2.0
197	2017	"""2016,2017,2018"""	millions	2.0
197	2018	"""2017,2018,2019"""	millions	2.0
199	2014	"""2013,2014,2015"""	millions	0.3
199	2015	"""2014,2015,2016"""	millions	0.3
199	2016	"""2015,2016,2017"""	millions	0.4
199	2017	"""2016,2017,2018"""	millions	0.3
199	2018	"""2017,2018,2019"""	millions	0.3
25	2014	"""2013,2014,2015"""	millions	0.1
25	2015	"""2014,2015,2016"""	millions	0.1
25	2016	"""2015,2016,2017"""	millions	0.1
25	2017	"""2016,2017,2018"""	millions	0.1
25	2018	"""2017,2018,2019"""	millions	0.1
202	2014	"""2013,2014,2015"""	millions	2.5
202	2015	"""2014,2015,2016"""	millions	2.8
202	2016	"""2015,2016,2017"""	millions	3.0
202	2017	"""2016,2017,2018"""	millions	3.1
202	2018	"""2017,2018,2019"""	millions	3.3
38	2014	"""2013,2014,2015"""	millions	1.8
38	2015	"""2014,2015,2016"""	millions	1.8
38	2016	"""2015,2016,2017"""	millions	1.7
38	2017	"""2016,2017,2018"""	millions	1.6
38	2018	"""2017,2018,2019"""	millions	1.6
276	2014	"""2013,2014,2015"""	millions	5.1
276	2015	"""2014,2015,2016"""	millions	4.4
276	2016	"""2015,2016,2017"""	millions	4.8
276	2017	"""2016,2017,2018"""	millions	5.0
276	2018	"""2017,2018,2019"""	millions	5.2
207	2014	"""2013,2014,2015"""	millions	0.1
207	2015	"""2014,2015,2016"""	millions	0.1
207	2016	"""2015,2016,2017"""	millions	0.1
207	2017	"""2016,2017,2018"""	millions	0.1
207	2018	"""2017,2018,2019"""	millions	0.1
216	2014	"""2013,2014,2015"""	millions	6.0
216	2015	"""2014,2015,2016"""	millions	5.9
216	2016	"""2015,2016,2017"""	millions	6.0
216	2017	"""2016,2017,2018"""	millions	6.2
216	2018	"""2017,2018,2019"""	millions	6.5
176	2014	"""2013,2014,2015"""	millions	0.4
176	2015	"""2014,2015,2016"""	millions	0.4
176	2016	"""2015,2016,2017"""	millions	0.4
176	2017	"""2016,2017,2018"""	millions	0.4
176	2018	"""2017,2018,2019"""	millions	0.4
217	2014	"""2013,2014,2015"""	millions	1.5
217	2015	"""2014,2015,2016"""	millions	1.6
217	2016	"""2015,2016,2017"""	millions	1.6
217	2017	"""2016,2017,2018"""	millions	1.6
217	2018	"""2017,2018,2019"""	millions	1.6
220	2014	"""2013,2014,2015"""	millions	0.1
220	2015	"""2014,2015,2016"""	millions	0.1
220	2016	"""2015,2016,2017"""	millions	0.1
220	2017	"""2016,2017,2018"""	millions	0.1
220	2018	"""2017,2018,2019"""	millions	0.1
222	2014	"""2013,2014,2015"""	millions	0.3
213	2014	"""2013,2014,2015"""	millions	0.2
213	2015	"""2014,2015,2016"""	millions	0.2
213	2016	"""2015,2016,2017"""	millions	0.2
213	2017	"""2016,2017,2018"""	millions	0.2
213	2018	"""2017,2018,2019"""	millions	0.2
230	2015	"""2014,2015,2016"""	millions	1.3
230	2017	"""2016,2017,2018"""	millions	1.5
230	2018	"""2017,2018,2019"""	millions	1.6
225	2014	"""2013,2014,2015"""	millions	0.3
225	2015	"""2014,2015,2016"""	millions	0.3
225	2016	"""2015,2016,2017"""	millions	0.3
225	2017	"""2016,2017,2018"""	millions	0.3
225	2018	"""2017,2018,2019"""	millions	0.3
215	2014	"""2013,2014,2015"""	millions	13.2
215	2015	"""2014,2015,2016"""	millions	12.8
215	2016	"""2015,2016,2017"""	millions	13.0
215	2017	"""2016,2017,2018"""	millions	13.4
215	2018	"""2017,2018,2019"""	millions	14.1
235	2014	"""2013,2014,2015"""	millions	1.4
235	2015	"""2014,2015,2016"""	millions	0.9
235	2016	"""2015,2016,2017"""	millions	0.9
235	2017	"""2016,2017,2018"""	millions	0.9
235	2018	"""2017,2018,2019"""	millions	0.8
155	2014	"""2013,2014,2015"""	millions	0.1
155	2015	"""2014,2015,2016"""	millions	0.1
155	2016	"""2015,2016,2017"""	millions	0.1
155	2017	"""2016,2017,2018"""	millions	0.1
155	2018	"""2017,2018,2019"""	millions	0.1
236	2014	"""2013,2014,2015"""	millions	2.6
236	2015	"""2014,2015,2016"""	millions	4.2
236	2016	"""2015,2016,2017"""	millions	6.2
236	2017	"""2016,2017,2018"""	millions	8.0
236	2018	"""2017,2018,2019"""	millions	9.1
237	2014	"""2013,2014,2015"""	millions	8.3
237	2015	"""2014,2015,2016"""	millions	7.6
237	2016	"""2015,2016,2017"""	millions	7.1
237	2017	"""2016,2017,2018"""	millions	6.5
237	2018	"""2017,2018,2019"""	millions	6.1
